.header.seq,.header.stamp.secs,.header.stamp.nsecs,.transform.translation.x,.transform.translation.y,.transform.translation.z
148773,1682211422,622439695,-0.580869252,5.936740232,1.425690767
148774,1682211422,634403023,-0.579868024,5.936933257,1.427141514
148775,1682211422,642447137,-0.578903762,5.93703553,1.428469125
148776,1682211422,652974198,-0.577920902,5.937177794,1.429832115
148777,1682211422,662199567,-0.576938774,5.937342192,1.431174897
148778,1682211422,673493152,-0.575969101,5.937485378,1.432456745
148779,1682211422,682253273,-0.574989508,5.937637893,1.4336447
148780,1682211422,692414589,-0.574037857,5.937804641,1.434874381
148781,1682211422,702415166,-0.573051528,5.937951262,1.436104416
148782,1682211422,712251850,-0.572126841,5.938083029,1.437200848
148783,1682211422,722237735,-0.571131303,5.938315414,1.438343295
148784,1682211422,733541452,-0.570102877,5.938463651,1.439390498
148785,1682211422,742200929,-0.569227134,5.938657846,1.440459842
148786,1682211422,752607050,-0.56825096,5.938822133,1.441426197
148787,1682211422,762425987,-0.5673854,5.93899638,1.442401247
148788,1682211422,772935379,-0.566411434,5.93919214,1.443365301
148789,1682211422,783863107,-0.565477283,5.939453036,1.444362239
148790,1682211422,792237841,-0.564549783,5.93967367,1.445245301
148791,1682211422,803140759,-0.563582676,5.940014789,1.446261799
148792,1682211422,812474021,-0.562669752,5.940180506,1.447106412
148793,1682211422,822297085,-0.561779234,5.940329927,1.447948482
148794,1682211422,832245390,-0.560903441,5.940401661,1.448545956
148795,1682211422,842927737,-0.560004415,5.940728123,1.449285094
148796,1682211422,852961942,-0.559082758,5.94094182,1.450062321
148797,1682211422,862559398,-0.558166218,5.941159421,1.450816288
148798,1682211422,872735336,-0.557281516,5.941366937,1.451552575
148799,1682211422,883281412,-0.556365098,5.94154362,1.452185468
148800,1682211422,892635489,-0.555484116,5.941791735,1.452940874
148801,1682211422,902471353,-0.554619318,5.942014612,1.45353414
148802,1682211422,912649801,-0.553730104,5.942235499,1.454159703
148803,1682211422,922693790,-0.5528927,5.942371108,1.454776272
148804,1682211422,932611333,-0.55199887,5.94258461,1.455385531
148805,1682211422,943050044,-0.551117885,5.942831573,1.456066573
148806,1682211422,953494202,-0.550261661,5.943085031,1.456614949
148807,1682211422,963240929,-0.549380351,5.94331662,1.457179009
148808,1682211422,972429655,-0.548550594,5.943533966,1.457734792
148809,1682211422,982585809,-0.547650792,5.94378341,1.458326802
148810,1682211422,992864603,-0.546827604,5.94398016,1.458903074
148811,1682211423,2553315,-0.545995698,5.944123351,1.459378775
148812,1682211423,12634070,-0.545126759,5.944350253,1.45995747
148813,1682211423,22702004,-0.544287066,5.944674884,1.460586108
148814,1682211423,33553347,-0.543308542,5.944902033,1.461200543
148815,1682211423,42261276,-0.542586772,5.945210833,1.461772946
148816,1682211423,52474718,-0.541782067,5.945382582,1.462169168
148817,1682211423,62412508,-0.540925025,5.945573844,1.462717482
148818,1682211423,72481380,-0.540122135,5.945811337,1.463257966
148819,1682211423,82283359,-0.539313882,5.946031092,1.463805757
148820,1682211423,92652791,-0.53846397,5.946220519,1.464277991
148821,1682211423,103155693,-0.537678156,5.946233757,1.464473973
148822,1682211423,112858004,-0.536872504,5.946478588,1.465143982
148823,1682211423,122480513,-0.53604623,5.946595989,1.465606565
148824,1682211423,132406158,-0.535215227,5.946831736,1.466145285
148825,1682211423,142512780,-0.534409932,5.9470563,1.466664203
148826,1682211423,152613602,-0.53358486,5.947349881,1.467217324
148827,1682211423,163128692,-0.532529203,5.947245563,1.467526327
148828,1682211423,172801340,-0.531956684,5.947585156,1.468033782
148829,1682211423,182440629,-0.531135345,5.947821804,1.46855827
148830,1682211423,192670643,-0.530225598,5.948112173,1.469000818
148831,1682211423,202647583,-0.529407954,5.94827088,1.469452299
148832,1682211423,212378297,-0.528488322,5.948536082,1.469687393
148833,1682211423,222701033,-0.527742933,5.948596688,1.470223646
148834,1682211423,232751833,-0.526921569,5.948764784,1.470685424
148835,1682211423,242911902,-0.526122758,5.948929762,1.471170022
148836,1682211423,252772158,-0.525402968,5.949286953,1.472145706
148837,1682211423,262361608,-0.524524667,5.949283248,1.47236821
148838,1682211423,272575003,-0.523790221,5.949482837,1.472783985
148839,1682211423,282369506,-0.522929229,5.949638496,1.473204202
148840,1682211423,293887589,-0.522164859,5.949881081,1.473712056
